warehouse_id,product_id,reorder_point,reorder_quantity,lead_time_days,safety_stock,is_active
WH_04,1dec4c88c685d5a07bf01dcb0f8bf9f8,6,10,14,2,True
WH_05,b59b5899ecf4bcc294a72fdd48adaa94,3,5,7,2,True
WH_04,521a361808bedd9fffb32181e501e09b,4,5,7,2,True
WH_03,e5eadf9be70a4a9fa514019542fc330a,2,5,3,2,True
WH_02,e7bbc0d43d1f5cb09bab95b664236633,2,5,7,2,True
WH_04,bce474cc95b6e77657e10939b0b4248c,7,15,14,2,False
WH_02,87a71ae93900ab55fcf685c8040769b3,3,5,14,2,True
WH_01,06c6e01186af8b98ee1fc9e01f9471e9,5,9,10,2,True
WH_04,f1c7f353075ce59d8a6f3cf58f419c9c,3,5,5,2,True
WH_01,cc1cb33bcc814aeaa4631761a34bd23e,4,5,5,2,True
WH_05,d4dccae17c83ffbaafc50d763503e9eb,4,5,5,2,False
WH_01,593236d0ff46b4299b4787fb8d43f7f0,3,5,10,2,True
WH_02,e8316a4667e5870c85e906b1f062bde1,2,5,5,2,True
WH_03,727a46f0b58a9ef165af9f7ebcfebfa9,2,5,3,2,True
WH_04,91b08d34d0ba4db44da2dc382867ba49,3,5,10,2,True
WH_01,55782cb82e0efe052da0a3da237da3b2,2,5,5,2,True
WH_01,4b96786612ebe7463132fce2c4dca136,3,5,5,2,True
WH_01,c1617123e66d2491ca93ceadfd36203e,8,9,14,2,True
WH_02,781afe929e3016a667f5f439afd55fce,3,5,14,2,True
WH_02,50fd2b788dc166edd20512370dac54df,3,5,14,2,True
WH_02,ec96b7b4e1401281edb9465d0d689cae,2,5,3,2,False
WH_02,4aa6014eceb682077f9dc4bffebc05b0,3,5,5,2,True
WH_02,167b4b8c4bd0c401bea62f5e050d70a4,6,6,10,2,True
WH_05,cc5447118c174dcc6456c84ccb29e6f7,2,5,14,2,True
WH_03,3b10cf7d1e08c598428ad6eb7c59d09c,6,13,10,2,True
WH_02,c2a1ff8408a1c857c8730e4d12da714e,4,5,5,2,True
WH_02,b0c89945c034268074f5f80b362bda34,2,5,10,2,True
WH_02,4cafc445fc7535c3b41b8978c0ce68dc,2,5,14,2,True
WH_02,163e6400e6dadd0fe04775c5e9331fda,2,5,7,2,True
WH_03,9fc0c73ce4d0eaaead44e81eeefebeb0,5,7,7,2,True
WH_02,423b46d7ff817b1cd19ab195c7b76546,2,5,5,2,True
WH_05,84f456958365164420cfc80fbe4c7fab,5,8,14,2,True
WH_02,ca5c923962558430573f83661dbe36d6,3,5,5,2,True
WH_04,423a6644f0aa529e8828ff1f91003690,5,9,10,2,True
WH_02,25c38557cf793876c5abdd5931f922db,3,5,10,2,True
WH_01,5d790355cbeded0cd60e25cbc4c527a2,7,13,14,2,True
WH_03,b8a0d73b2a06e7910d9864dccdb0cda2,2,5,3,2,True
WH_01,0705b33fb285827a578fce4899f1b921,5,8,10,2,True
WH_01,7f72a8900b3d2fc8fa2635b7836d6e6e,3,5,7,2,True
WH_02,cf78006a2a6b0429b9663edd99bb38f9,2,5,3,2,True
WH_01,1e618d311a1b7f88a9d96ec50aa85582,4,5,7,2,True
WH_04,e5ae72c62ebfa708624f5029d609b160,7,9,14,2,True
WH_03,44e086c4a977f37a888627b43880586c,7,16,14,2,True
WH_02,02ce467092b184e71d3967d29110adc1,2,5,14,2,True
WH_04,657247f6f60543b93e3cc708a8e6329c,5,9,10,2,True
WH_05,362b773250263786dd58670d2df42c3b,4,5,14,2,True
WH_04,bee2e070c39f3dd2f6883a17a5f0da45,4,5,7,2,True
WH_04,431d674f9a4fbd0957ecf6ba3fcb6899,3,5,7,2,True
WH_05,5e53af05c040b01584b81b3549945faf,5,8,10,2,True
WH_04,b38b25d838ae0b8385e8cc68b9017644,3,5,10,2,True
WH_01,e2bb00220a167d9e60b6776ac33717bc,5,6,10,2,True
WH_01,bfc0d01be79d9038c7720f983bf954e0,3,5,5,2,True
WH_04,34d6306314a47fe15c1efdbc23302020,2,5,5,2,True
WH_03,7c2d0df8e5fbfa71d54a400b33a8502e,2,5,3,2,True
WH_03,3fc18e3aefe7b9346bd15de863fa0365,3,5,3,2,True
WH_04,c73628b1c3144b2e0c9c88072f21a213,2,5,7,2,True
WH_02,f819f0c84a64f02d3a5606ca95edd272,2,5,10,2,True
WH_02,ea44caac707f7f1325182a538007f838,3,5,14,2,True
WH_02,564f6ff7ae760d6eda6d32c551724036,2,5,10,2,True
WH_01,b1d207586fca400a2370d50a9ba1da98,2,5,3,2,True
WH_05,9b9d1c4bd979b93c138044e032f99780,4,5,10,2,True
WH_02,a04087ab6a96ffa041f8a2701a72b616,3,5,10,2,True
WH_05,0a9bdadab17a9b0f258f64d11a0adf7b,3,5,3,2,True
WH_03,a8115d34a4b7b74388da609692162c37,2,5,3,2,True
WH_04,75c06ee06b201f9b6301d2b5e72993f8,4,5,7,2,True
WH_02,c6ea63369936552872ae890c82175b4b,2,5,3,2,True
WH_04,cebff45f1d1558430be0e07ac0df6a68,3,5,7,2,True
WH_02,f6fa93875f4a7dac03e0a22143f4d815,2,5,14,2,True
WH_01,7e0dc102074f8285580c9777f79c90cf,3,5,3,2,True
WH_02,1dec4c88c685d5a07bf01dcb0f8bf9f8,4,5,5,2,True
WH_05,386486367c1f9d4f587a8864ccb6902b,4,5,5,2,True
WH_02,521a361808bedd9fffb32181e501e09b,3,5,14,2,False
WH_04,076e4ce53c8914382e7ff3732511b17e,3,5,7,2,True
WH_02,bce474cc95b6e77657e10939b0b4248c,2,5,7,2,True
WH_01,59fe488ea6ac9439bc86663f4a564c23,3,5,14,2,True
WH_01,4bb4fb9c85785b75ab4f6559900c7ca1,5,8,10,2,True
WH_05,1a758361b1c10b3ffe3d3373332de319,4,5,5,2,True
WH_04,c3097e07a0a5de0d4b4c836d90c5a284,2,5,7,2,True
WH_05,bb90206fa281c20f0b4c42a2393b54dd,3,5,3,2,True
WH_01,2f13d1dc8b4e1d9d8027be50339546a9,4,7,10,2,True
