warehouse_id,product_id,quantity_on_hand,quantity_reserved,quantity_available,last_restock_date,unit_cost
WH_02,3dd2a17168ec895c781a9191c1e95ad7,172,40,132,2018-10-15,73.6
WH_02,76d1a1a9d21ab677a61c3ae34b1b352f,13,1,12,2018-10-27,103.1
WH_02,34d6306314a47fe15c1efdbc23302020,15,2,13,2018-10-23,45.04
WH_02,9bb8ca338e5588c361e34eae02e8fad6,12,0,12,2018-11-12,27.03
WH_02,962a6951154f98f2c8e9a5b8b2bcf4a9,56,4,52,2018-10-25,44.78
WH_02,281bbfe70848e0b304bef88fc2caf2c3,16,0,16,2018-11-08,26.87
WH_02,62c89abe1afe3a23c17765d462718a4c,15,2,13,2018-11-23,133.39
WH_02,5eb564652db742ff8f28759cd8d2652a,13,3,10,2018-06-16,13.97
WH_02,95c40b993a22463c83beb5c51a03d46c,9,1,8,2018-07-23,14.12
WH_02,c9c6fde711572c1ad99ca12728c6af00,55,2,53,2018-08-21,15.18
WH_02,a6ad77b15e566298a4e8ee2011ab1255,47,5,42,2018-07-04,20.53
WH_02,d34c07a2d817ac73f4caf8c574215fed,29,1,28,2018-09-28,14.87
WH_02,5b226d7c52f86ac72457617f78cff95d,21,3,18,2018-06-25,28.59
WH_02,c10a7001e8b49dfc03817444b5f2ed81,7,1,6,2018-09-16,85.7
WH_02,0da9ffd92214425d880de3f94e74ce39,10,0,10,2018-10-26,68.95
WH_02,b1d207586fca400a2370d50a9ba1da98,55,3,52,2018-10-06,93.71
WH_02,ee6c49af1a2de55aa0e076257ab4ab99,40,7,33,2018-08-18,80.09
WH_02,63d6e7ab30f482382c9dfbbccae7da54,17,0,17,2018-10-08,57.0
WH_02,1acb18fc869c5489d5f76abcd681165e,16,1,15,2018-08-30,62.71
WH_02,a04087ab6a96ffa041f8a2701a72b616,8,1,7,2018-11-15,346.3
WH_02,c2a1ff8408a1c857c8730e4d12da714e,22,2,20,2018-06-28,39.21
WH_02,9d0bb30eed80184666c8acad23921283,15,2,13,2018-09-12,12.33
WH_02,3e442d09f9dfef002aadf31960869f65,19,3,16,2018-10-22,11.16
WH_02,994ab76f0da3349fffcfe5d598e9babb,10,2,8,2018-09-07,17.68
WH_02,98ec655119c24de03b804696821f3955,18,4,14,2018-11-07,24.15
WH_02,7703b8cb5b77fbb36518ea91e2ca734f,23,0,23,2018-06-25,17.11
WH_02,18f6ea7e8cff29f8053baac6762449f9,16,2,14,2018-09-02,31.74
WH_02,7bcf2266b78ccc737b8f26f925d3c5d4,20,1,19,2018-09-11,25.19
WH_02,0a4f9f421af66d2ea061fbb8883419f7,17,0,17,2018-08-25,45.42
WH_02,3ae28b124972bb81eddcb644cd284be9,22,4,18,2018-11-03,53.56
WH_02,cec09725da5ed01471d9a505e7389d37,97,4,93,2018-11-04,34.63
WH_02,cad2db5e318d7283a234c517b2f28a42,12,3,9,2018-08-16,72.67
WH_02,9d32095f76b97762307e86cfc18dd7a0,18,4,14,2018-10-15,32.39
WH_02,386eebb43722ab502f04f7900bd2451b,18,4,14,2018-06-05,27.2
WH_02,7f457254a89d62960399e075711b3deb,12,0,12,2018-10-28,17.34
WH_02,43423cdffde7fda63d0414ed38c11a73,62,0,62,2018-08-07,35.99
WH_02,6987398dff454a3138231540e2a6ec61,23,4,19,2018-06-14,81.23
WH_02,817e1c2d22418c36386406ccacfa53e8,32,2,30,2018-11-06,91.22
WH_02,fe077ec80df6b4ee60bb4498d5ab1962,40,6,34,2018-11-22,60.55
WH_02,1a0971a6f39f04118207a7308d451e9d,11,2,9,2018-06-29,121.15
WH_02,fcaab5d7f656094e49fbe4ee3a506658,9,1,8,2018-07-09,55.31
WH_02,4c1bbc12438daec98a77243c2bf7a3ba,15,1,14,2018-11-04,73.67
WH_02,67bd616e1ba0d3d3e8545f3113b0140d,51,11,40,2018-11-28,9.29
WH_02,33fac76e7f17367dedaef7954bbb33b4,9,0,9,2018-11-17,49.24
WH_02,30ac6df06dc59ad72cf2f158fc2d904c,48,6,42,2018-07-15,56.26
WH_02,2ea92fab7565c4fe9f91a5e4e1756258,13,2,11,2018-11-21,43.62
WH_02,f5badee8a0e679f057ec0ca4f0f32dcb,19,2,17,2018-07-20,64.07
WH_02,ca5c923962558430573f83661dbe36d6,53,4,49,2018-07-28,61.4
WH_02,31b8e7c2a22f3dba5183cc110bdd72f7,32,4,28,2018-11-28,127.63
WH_02,4c1e109ecdf58453de365d217cefa64c,10,2,8,2018-10-01,67.16
WH_02,dca8cbb1c9d8a2db0fbc0c36b8d1a7bc,20,5,15,2018-07-02,41.57
WH_02,b0c8da302d49498d2ce6be8c631e4e20,31,6,25,2018-09-10,39.98
WH_02,ddceb6eef6af67e9fbbd4c148dbe5fd9,66,4,62,2018-08-13,103.47
WH_02,4914f8796af2ecd359fd8f44b9b92339,40,1,39,2018-09-22,25.08
WH_02,741a31499a578979be85db7f80139e62,19,3,16,2018-10-16,21.31
WH_02,6eb70dfb283dc3f645ed7b03c990dc72,10,2,8,2018-07-06,34.38
WH_02,0654d3c1e3efc7e7cd9dbde9cb743df2,9,2,7,2018-08-02,31.68
WH_02,5115d8cd6438c0c4d8abdf38d5d41ebd,6,0,6,2018-06-14,40.81
WH_02,e4ca5b20cfe1a020e15e36fe14e880ee,10,1,9,2018-06-26,12.07
WH_02,437c05a395e9e47f9762e677a7068ce7,173,8,165,2018-10-19,20.1
WH_02,f7a17d2c51d9df89a4f1711c4ac17f33,92,5,87,2018-09-30,27.16
WH_02,fed5c40c27e1c88560a9e92d82ee0825,19,1,18,2018-08-13,12.33
WH_02,31a2f42a87890f87d77daebdfabc182e,28,0,28,2018-06-23,98.48
WH_02,4ebab6a2135a2477b657bda38646b64b,17,1,16,2018-06-10,14.35
WH_02,f422d0d9f8b5f7c27289382b14b61248,29,2,27,2018-07-16,35.34
WH_02,5a419dbf24a8c9718fe522b81c69f61a,25,0,25,2018-09-10,31.92
WH_02,db5efde3ad0cc579b130d71c4b2db522,59,2,57,2018-08-14,133.72
WH_02,9545d45c37449ccbc376de3a04c66e71,71,0,71,2018-11-02,61.87
WH_02,657247f6f60543b93e3cc708a8e6329c,13,2,11,2018-11-12,124.95
WH_02,aba86c093ccdbac75b09111d57e50004,54,7,47,2018-07-05,79.77
WH_02,7564c1759c04fc0a38f2aa84f7a370ee,58,7,51,2018-06-29,21.28
WH_02,f731f8587d4088c174397e010cf892a9,20,5,15,2018-08-05,30.57
WH_02,2423252b2432f1803e4f29e0974c6cf7,29,0,29,2018-08-15,97.18
WH_02,cfd414b4463647f58c7775eaae06893d,20,1,19,2018-11-11,42.72
WH_02,ba74c6b75d2ad7503175809688d5a03c,34,6,28,2018-06-23,99.56
WH_02,c6dd917a0be2a704582055949915ab32,93,3,90,2018-07-06,45.04
WH_02,c403e106353e1aa40efe783ecb39ed7a,26,1,25,2018-09-07,15.48
WH_02,7c55ea4aea1acf1ce11440010f5aa298,11,1,10,2018-08-17,278.84
WH_02,6cdd53843498f92890544667809f1595,155,36,119,2018-11-15,141.54
WH_02,588531f8ec37e7d5ff5b7b22ea0488f8,14,1,13,2018-07-01,592.2
WH_02,bb50f2e236e5eea0100680137654686c,167,10,157,2018-10-07,170.89
WH_02,dd0dcee76f9c12fff4bc0eb641d57c7f,60,9,51,2018-11-11,14.31
WH_02,a4aa7c1427c31344e5f7cc3d839fe562,58,4,54,2018-07-27,51.99
WH_02,1a080577618e7fe4d9ddd8fb2b47a964,18,1,17,2018-09-25,310.16
WH_02,7b35ccd93a2184646c03b70326626923,27,4,23,2018-11-27,80.14
WH_02,cc1cb33bcc814aeaa4631761a34bd23e,17,3,14,2018-11-18,47.44
WH_02,84f5c4f480ad6c9998d6a6860f1a2e41,30,3,27,2018-10-31,24.87
WH_02,39aa98469aa7460a9764311b3f8efb12,22,0,22,2018-10-14,25.62
WH_02,5d7c23067ed3fc8c6e699b9373d5890b,26,0,26,2018-06-29,35.73
WH_02,3c883b9d3fd2d0ce448d4136349dc0a4,7,0,7,2018-07-09,31.19
WH_02,b8762d562d810c2f8d7ad7e9c12957be,9,2,7,2018-11-22,13.83
WH_02,4bb4fb9c85785b75ab4f6559900c7ca1,12,3,9,2018-10-09,16.23
WH_02,3e5201fe0d1ba474d9b90152c83c706c,36,0,36,2018-10-10,65.56
WH_02,e53e557d5a159f5aa2c5e995dfdf244b,146,36,110,2018-09-27,35.21
WH_02,1e618d311a1b7f88a9d96ec50aa85582,23,2,21,2018-09-10,80.47
WH_02,15859e3a8aaa3c192c10a91d8722abd5,12,0,12,2018-10-27,188.85
WH_02,4fe644d766c7566dbc46fb851363cb3b,41,6,35,2018-06-17,50.82
WH_02,f3720bc68555b1bff49b9ffd41b017ac,18,0,18,2018-06-18,123.4
WH_02,71a5f1c2a5fd9889ef26b5ac22aec9c6,40,7,33,2018-09-13,9.06
WH_02,5328338cfaa16ba10561cd970c73ca11,18,1,17,2018-11-13,126.02
WH_02,060cb19345d90064d1015407193c233d,37,5,32,2018-09-06,102.42
WH_02,d63c1011f49d98b976c352955b1c4bea,46,6,40,2018-11-22,30.38
WH_02,fbd4031ddbc3d02b95834b62769d3ad0,34,8,26,2018-08-29,60.05
WH_02,9007d9a8a0d332c61d9dd611fa341f4b,10,2,8,2018-07-03,4.07
WH_02,f8077831f3c3f393fb67b93c5acd8daf,18,1,17,2018-06-06,51.65
WH_02,4cd6ba4ea3112de8fc238307c4dc6307,53,7,46,2018-10-18,23.69
WH_02,cd935d283d47f1050c505e1c39c48b67,13,3,10,2018-08-03,45.23
WH_02,1bfe62f326ac7bec0f5a83c10cfff228,16,1,15,2018-06-29,24.29
WH_02,7fab1a1472fdd934397068931f63f3ca,16,3,13,2018-06-05,41.3
WH_02,57d79905de06d8897872c551bfd09358,17,0,17,2018-06-09,11.51
WH_02,719d571299707561c34ba04ab867b32a,27,5,22,2018-06-13,35.23
WH_02,d3e1006ba3735c0d44160026b6e0ced3,16,0,16,2018-07-30,56.85
WH_02,84f456958365164420cfc80fbe4c7fab,105,24,81,2018-06-15,61.19
WH_02,429e7401fafb76436f15e86498bd7364,7,1,6,2018-10-26,95.18
WH_02,7e6c4a0bf900e259f50ba63331fd2785,12,2,10,2018-07-07,32.97
WH_02,7868a64aa111bbb4f41f8e1146c0becb,23,4,19,2018-08-16,27.34
WH_02,eba7488e1c67729f045ab43fac426f2e,17,4,13,2018-07-15,150.85
WH_02,b24af8bca8813bcde4140ff8562f5e47,25,3,22,2018-06-13,27.2
WH_02,569ffd16f8032478cbeb9800f2e94ba0,68,12,56,2018-08-21,10.74
WH_02,a5f6ba3fe91a2e73f10b612131cb2404,36,6,30,2018-09-05,20.85
WH_02,3cce0d166c3fb2507956c630c1d0f87c,9,2,7,2018-07-28,50.56
WH_02,a02d0123079f4ae96001ba2010d1a2df,37,2,35,2018-06-15,155.28
WH_02,371fa349d92646bbeea5873df0bcdc5a,22,3,19,2018-07-05,21.01
WH_02,461f43be3bdf8844e65b62d9ac2c7a5a,111,8,103,2018-11-13,65.02
WH_02,b2855c4e42b8a50f359904c6763eeddc,6,1,5,2018-06-24,201.9
WH_02,c589625c8ccc7bfd2e8f1fb041e24c4a,15,1,14,2018-09-05,45.83
WH_02,cdc4af478fef19f03f1d0353c00271cd,18,4,14,2018-06-19,11.35
WH_02,cd48f265a63e13b762601f5f794c5fca,48,12,36,2018-11-19,28.39
WH_02,57e089e3103f5cda6a4ce23b77399bdb,41,7,34,2018-08-25,24.12
WH_02,e2e426d1332240070b0a836a854d057b,23,0,23,2018-07-19,17.53
WH_02,668e8ee8f69c3545109fc40f72336e8f,23,0,23,2018-10-01,54.57
WH_02,f521813909e310116b6b2f0b11f3dd44,22,5,17,2018-07-23,58.13
WH_02,f4f67ccaece962d013a4e1d7dc3a61f7,43,3,40,2018-08-12,132.72
WH_02,fecf6223a3494f35362f670e571d2a04,15,2,13,2018-09-01,34.43
WH_02,a5341e3f8155dbb3e62323d3ea289729,37,7,30,2018-09-29,48.01
WH_02,20f160a9cf2e856ee5eba259e9ae33f9,29,5,24,2018-09-03,122.24
WH_02,11250b0d4b709fee92441c5f34122aed,14,0,14,2018-07-27,235.54
